日付,商品名,エリア,売上金額,販売数量
2024-01-01,商品A,東京,150000,120
2024-01-01,商品B,東京,200000,80
2024-01-01,商品C,東京,180000,90
2024-01-01,商品D,東京,220000,100
2024-01-01,商品A,大阪,120000,95
2024-01-01,商品B,大阪,180000,72
2024-01-01,商品C,大阪,160000,80
2024-01-01,商品D,大阪,190000,85
2024-01-01,商品A,福岡,100000,80
2024-01-01,商品B,福岡,150000,60
2024-01-01,商品C,福岡,140000,70
2024-01-01,商品D,福岡,170000,75
2024-02-01,商品A,東京,165000,130
2024-02-01,商品B,東京,220000,88
2024-02-01,商品C,東京,195000,98
2024-02-01,商品D,東京,245000,110
2024-02-01,商品A,大阪,135000,108
2024-02-01,商品B,大阪,195000,78
2024-02-01,商品C,大阪,175000,88
2024-02-01,商品D,大阪,210000,95
2024-02-01,商品A,福岡,115000,92
2024-02-01,商品B,福岡,165000,66
2024-02-01,商品C,福岡,155000,78
2024-02-01,商品D,福岡,185000,82
2024-03-01,商品A,東京,180000,145
2024-03-01,商品B,東京,240000,96
2024-03-01,商品C,東京,210000,105
2024-03-01,商品D,東京,270000,120
2024-03-01,商品A,大阪,150000,120
2024-03-01,商品B,大阪,210000,84
2024-03-01,商品C,大阪,190000,95
2024-03-01,商品D,大阪,230000,105
2024-03-01,商品A,福岡,130000,104
2024-03-01,商品B,福岡,180000,72
2024-03-01,商品C,福岡,170000,85
2024-03-01,商品D,福岡,200000,90
2024-04-01,商品A,東京,195000,158
2024-04-01,商品B,東京,255000,102
2024-04-01,商品C,東京,225000,113
2024-04-01,商品D,東京,285000,128
2024-04-01,商品A,大阪,165000,132
2024-04-01,商品B,大阪,225000,90
2024-04-01,商品C,大阪,205000,103
2024-04-01,商品D,大阪,245000,112
2024-04-01,商品A,福岡,145000,116
2024-04-01,商品B,福岡,195000,78
2024-04-01,商品C,福岡,185000,93
2024-04-01,商品D,福岡,215000,97
2024-05-01,商品A,東京,210000,170
2024-05-01,商品B,東京,270000,108
2024-05-01,商品C,東京,240000,120
2024-05-01,商品D,東京,300000,135
2024-05-01,商品A,大阪,180000,144
2024-05-01,商品B,大阪,240000,96
2024-05-01,商品C,大阪,220000,110
2024-05-01,商品D,大阪,260000,118
2024-05-01,商品A,福岡,160000,128
2024-05-01,商品B,福岡,210000,84
2024-05-01,商品C,福岡,200000,100
2024-05-01,商品D,福岡,230000,104
2024-06-01,商品A,東京,225000,182
2024-06-01,商品B,東京,285000,114
2024-06-01,商品C,東京,255000,128
2024-06-01,商品D,東京,315000,142
2024-06-01,商品A,大阪,195000,156
2024-06-01,商品B,大阪,255000,102
2024-06-01,商品C,大阪,235000,118
2024-06-01,商品D,大阪,275000,125
2024-06-01,商品A,福岡,175000,140
2024-06-01,商品B,福岡,225000,90
2024-06-01,商品C,福岡,215000,108
2024-06-01,商品D,福岡,245000,111
